ID,title,content,label
SYN_020,기아 카니발 하이브리드 출시 임박,기아가 카니발 하이브리드 모델을 곧 출시할 예정이다. 카니발 하이브리드는 2.5L 터보 엔진과 전기모터를 결합해 연비를 크게 개선했다. 미니밴 시장에서 하이브리드 모델은 카니발이 최초다.,1
SYN_021,현대건설 사우디 네옴시티 수주,현대건설이 사우디아라비아 네옴시티 건설 프로젝트를 수주했다. 계약 규모는 50억 달러로 현대건설 역대 최대 규모 해외 수주다. 네옴시티는 사우디의 미래 도시 프로젝트로 2030년 완공 예정이다.,0
SYN_022,르노코리아 그랑 콜레오스 사전계약 돌풍,르노코리아자동차의 신형 SUV 그랑 콜레오스가 사전계약 첫 주 5000대를 돌파했다. 그랑 콜레오스는 르노 최초의 3열 SUV로 하이브리드 파워트레인을 탑재했다. 가격은 3990만원부터 시작한다.,1
SYN_023,LG전자 2024년 영업이익 3조원 돌파 전망,LG전자가 2024년 연간 영업이익 3조원을 돌파할 것으로 전망된다. 가전과 TV 사업 호조에 전장 사업 흑자 전환이 실적을 견인했다. 특히 북미 시장에서의 프리미엄 가전 판매가 크게 증가했다.,0
SYN_024,메르세데스-벤츠 뉴 E클래스 PHEV 출시,메르세데스-벤츠가 뉴 E클래스 플러그인 하이브리드 모델을 한국에 출시했다. 전기모드로만 최대 100km 주행이 가능하며 MBUX 최신 버전이 탑재됐다. 가격은 9500만원부터 시작한다.,1
SYN_025,카카오뱅크 가계대출 금리 인상,카카오뱅크가 가계대출 금리를 0.2%포인트 인상했다. 가계부채 관리 강화 차원에서 이뤄진 조치로 다른 인터넷 은행들도 금리 인상을 검토 중이다. 주택담보대출 금리도 함께 올랐다.,0
SYN_026,현대차 N 비전 74 수소전기 스포츠카 양산 검토,현대자동차가 N 비전 74 수소전기 스포츠카의 양산을 검토 중이다. N 비전 74는 수소연료전지와 배터리를 결합한 하이브리드 시스템으로 670마력을 발휘한다. 2027년 한정 생산될 가능성이 제기되고 있다.,1
SYN_027,삼성SDI 전고체 배터리 2027년 양산,삼성SDI가 전고체 배터리를 2027년부터 양산한다고 발표했다. 전고체 배터리는 기존 리튬이온 배터리 대비 에너지 밀도가 2배 높고 충전 시간은 절반으로 단축된다. 초기에는 프리미엄 전기차에 적용될 예정이다.,1
SYN_028,넷플릭스 한국 콘텐츠 투자 1조원 돌파,넷플릭스가 한국 콘텐츠 누적 투자액 1조원을 돌파했다. 오징어게임 킹덤 등의 성공에 힘입어 한국 오리지널 콘텐츠 제작을 확대하고 있다. 2025년에도 대규모 투자가 이어질 전망이다.,0
SYN_029,쉐보레 이쿼녹스 EV 한국 출시 확정,쉐보레가 전기 SUV 이쿼녹스 EV를 한국에 출시한다. 이쿼녹스 EV는 GM의 얼티움 플랫폼 기반으로 개발됐으며 1회 충전 시 500km 이상 주행이 가능하다. 가격은 5000만원대로 책정될 예정이다.,1
SYN_030,인텔 파운드리 사업 분사 추진,인텔이 파운드리 사업부를 독립 법인으로 분사하는 방안을 추진 중이다. 파운드리 시장에서 TSMC 삼성전자와 경쟁하기 위한 전략으로 분석된다. 분사 시기는 2025년 하반기로 예상된다.,0
